item_id,source,text,aspect,polarity,intents,segment_hints,evidence_span
real_appstore_sig_appstore_1391380318_14147442474,real:app_store,Datadog App Store review (1★): 'Showing “Bad Request” on ever log click'.,,,,,
real_appstore_sig_appstore_1391380318_14090707160,real:app_store,Datadog App Store review (1★): 'UI Issues'.,,,,,
real_appstore_sig_appstore_1391380318_13874877795,real:app_store,Datadog App Store review (1★): 'App is helpful but links don’t open to the right page so becomes worse than the web'.,,,,,
real_appstore_sig_appstore_1391380318_12965430645,real:app_store,Datadog App Store review (5★): 'Useful app'.,,,,,
real_appstore_sig_appstore_1391380318_12904447613,real:app_store,Datadog App Store review (1★): 'Poor experience on mobile'.,,,,,
real_appstore_sig_appstore_1391380318_12808670045,real:app_store,Datadog App Store review (1★): 'The alarm is giving me a heart attack'.,,,,,
real_appstore_sig_appstore_1391380318_12797129928,real:app_store,Datadog App Store review (1★): 'Garbage app'.,,,,,
real_appstore_sig_appstore_1391380318_12790374676,real:app_store,Datadog App Store review (1★): 'App and mobile site are basically unusable'.,,,,,
real_appstore_sig_appstore_1391380318_12323857428,real:app_store,Datadog App Store review (2★): 'Overall terrible'.,,,,,
real_appstore_sig_appstore_1391380318_12277792387,real:app_store,Datadog App Store review (1★): 'Sad'.,,,,,
real_appstore_sig_appstore_1391380318_11841675087,real:app_store,Datadog App Store review (1★): 'Crashes after update /won’t launch'.,,,,,
real_appstore_sig_appstore_1391380318_11751386836,real:app_store,"Datadog App Store review (1★): 'Buggy, impossible to triage an incident on mobile app'.",,,,,
real_appstore_sig_appstore_1391380318_11495566424,real:app_store,Datadog App Store review (1★): 'Pointless out of the box'.,,,,,
real_appstore_sig_appstore_1391380318_11011081461,real:app_store,Datadog App Store review (1★): 'Widgets don’t work'.,,,,,
real_appstore_sig_appstore_1391380318_10620911511,real:app_store,Datadog App Store review (5★): 'Tons of fun!'.,,,,,
real_appstore_sig_appstore_1391380318_10576622369,real:app_store,Datadog App Store review (2★): 'Dashboards and monitors are broken'.,,,,,
real_appstore_sig_appstore_1391380318_10558641206,real:app_store,Datadog App Store review (1★): 'Needs resources'.,,,,,
real_appstore_sig_appstore_1391380318_9893971487,real:app_store,Datadog App Store review (1★): 'missing features from prev versions'.,,,,,
